listing_id,source,seller_type,housing_type,region,district,rooms,living_area_m2,kitchen_area_m2,total_area_m2,floor,total_floors,building_type,layout,build_year,ceiling_height,bathroom,furnished,renovation,commission,amenities,nearby,negotiable,price,currency,published_date,description,date_scraped,url
4hxyS,olx,private,resale,Tashkent Region,Shaykhantakhur District,4.0,110.0,15.0,110.0,1.0,4.0,brick,Смежно-раздельная,2010.0,3.0,2+ bathrooms,1.0,euro renovation,0.0,"Balcony, TV, Cable TV, Internet, Washing Machine, Telephone, Kitchen, Refrigerator","Restaurant, Cafe, Kindergarten, Parking, Bus Stop, Hospital, Clinic, Supermarket, Shops, Park, Green Area, School, Entertainment, Playground",0,184999.0,USD,02/05/2026,Описание Drujba narodov 34 maktab oldida 4 Etajli domni 1-etajida joylashgan Podval ham mavjud Yengi remont 2ta san uzel 3+1 xonadan iborat Tel: 99871 2455307 99890 9436974,2026-05-02,https://www.olx.uz/d/obyavlenie/druzhba-spets-plan-sovmin-3-1-4-ID4hxyS.html
4lbl3,olx,business,resale,Tashkent Region,Yunusabad District,2.0,72.0,3.0,80.0,8.0,8.0,panel,separate,,3.0,separate,1.0,euro renovation,0.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",0,92500.0,USD,02/05/2026,Описание Прадаётса юнсабад 13 Kalichistva komnat 2 Etaj 8 Etaj doma 8 Planirovka razdelni Sanuzel razdelni Kvadrat 80 Navastroyka Arintir pitushok +998338828228,2026-05-02,https://www.olx.uz/d/obyavlenie/pradaetsa-yunsabad-13kv-svaya-ID4lbl3.html
4myIm,olx,business,resale,Tashkent Region,Mirzo-Ulugbek District,3.0,,,68.0,2.0,5.0,brick,separate,,,separate,1.0,,0.0,,,1,105000.0,USD,02/05/2026,"Описание Вторичка 3/2/5 2х6 кирпич 68м2 Мирзо Улугбексикй район У метро Буюк Ипак Йули Максим Горький, ориентир KFC , Аптека 36,6 ул. Лафарга (Чуст) Комнат: 3 Этаж: 2 Этажность: 5 Общая площадь 68м2 Раздельные комнаты с Мебелью и Техникой, Лоджия 2х6 , кирпичный дом , есть парковочное место",2026-05-02,https://www.olx.uz/d/obyavlenie/3-2-5-2h6-68m2-kirpich-u-metro-buyuk-ipak-yuli-maksim-gorkiy-biy-ID4myIm.html
4lSbv,olx,business,new building,Tashkent Region,Mirzo-Ulugbek District,1.0,,,39.0,16.0,16.0,brick,,,,,1.0,euro renovation,0.0,,,0,71500.0,USD,02/05/2026,"Описание Продаётся 1 х комнатная квартира Площадь 39 м2 Новый ремонт мебель техника Закрытый двор На территории комплекса кинотеатр,спорт зал Детская площадка Цена:71.500 уе",2026-05-02,https://www.olx.uz/d/obyavlenie/1-16-16-zhk-botanica-saroyi-yalangach-orientir-nalogovaya-novostroyka-39-m-ID4lSbv.html
3hTrl,olx,private,,Tashkent Region,Мирабад,3.0,78.0,10.0,78.0,1.0,5.0,panel,separate,2000.0,3.0,separate,1.0,euro renovation,0.0,,,0,1000000.0,UZS,30/04/2026,"Описание Faqat o‘g‘il bolalar uchun. 1 oyga 1 000 000 so‘m. Maklarskiy yo‘q, kommunal to‘lovlar ham yo‘q, shu pulni ichida. Barcha sharoit va texnika bor. Qo‘yliq 6-massivda. Metroning Tolariq bekati yonida. Amaliy fanlar institutiga yaqin. 905225577",2026-05-02,https://www.olx.uz/d/obyavlenie/ogil-bollaga-bez-makler-kvartira-qoyliq-ID3hTrl.html
3fcvD,olx,business,,Samarkand Region,Samarkand,2.0,55.0,5.0,55.0,2.0,5.0,brick,separate,2016.0,3.0,combined,1.0,designer renovation,1.0,"Kitchen, TV, Balcony, Air Conditioning, Internet, Cable TV, Telephone, Washing Machine, Refrigerator","Restaurant, Cafe, Kindergarten, Parking, Bus Stop, Hospital, Clinic, Supermarket, Shops, Park, Green Area, School, Entertainment, Playground",1,400.0,USD,01/05/2026,Описание Очень хороший раен спакойние соседи ремонт авторский звходи живи газ свет вода постояный звоните будем рады помоч +998 95-383-84-24,2026-05-02,https://www.olx.uz/d/obyavlenie/sdaetsya-2h-komnotnaya-kvartira-v-tsentre-samarkanda-s-vsemi-udobstvami-ID3fcvD.html
4mp0o,olx,private,resale,Tashkent Region,Yunusabad District,4.0,,,65.68,2.0,4.0,panel,Смежно-раздельная,,3.0,separate,1.0,euro renovation,0.0,"Refrigerator, TV, Washing Machine, Kitchen, Balcony","Playground, Kindergarten, Bus Stop, Supermarket, Shops, School",1,85000.0,USD,01/05/2026,"Описание Срочно продается квартира с ремонтом в Юнусабадском районе 11 квартал. Отличная локация: В шаговой доступности Метро, Базар Сразу за домом ТРЦ Мегапланет. Можно заехать и жить без дополнительных вложений.",2026-05-02,https://www.olx.uz/d/obyavlenie/prodaetsya-svoya-4-komnatnaya-kvartira-yunusabad-11-nbu-bank-srochno-ID4mp0o.html
42rbI,olx,private,new building,Republic of Karakalpakstan,Нукус,4.0,,,600.0,1.0,1.0,brick,separate,,,,1.0,euro renovation,1.0,"Internet, Telephone, Kitchen",,1,180000000.0,UZS,02/05/2026,Описание Нокис каласы Коскол 3 жолға жакын 4 ханалы уй сатылады. Баҳасы келисимли 180 млн кайтымы бар,2026-05-02,https://www.olx.uz/d/obyavlenie/assalauma-aleykum-ID42rbI.html
4mBZq,olx,private,,Tashkent Region,Shaykhantakhur District,400.0,52.0,3.0,62.0,1.0,4.0,panel,separate,,3.0,separate,0.0,average condition,1.0,"Internet, Telephone, Refrigerator, TV, Cable TV, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",0,400.0,USD,02/05/2026,Описание Tel 97 114-44-08 ijaraga chorsu gulabod da 2 honali uy beriladi honalari keng va alohida uy ichida tv haladilnik gilam bor remont orta atrofida bohcha maktab dokon mavjud transpirt qatnovi chorsu bozor jar kompleks 1 gor balnitsa guncha yaqin qule chikish moljal gulabod,2026-05-02,https://www.olx.uz/d/obyavlenie/arenda-chorsu-gulabod-2hona-1-etaj-ID4mBZq.html
4lLG5,olx,private,resale,Tashkent Region,Эшангузар,2.0,30.0,10.0,44.0,4.0,4.0,brick,separate,1989.0,2.8,separate,0.0,euro renovation,0.0,"Cable TV, Kitchen, Balcony","School, Restaurant, Cafe, Parking, Supermarket, Shops",1,55800.0,USD,02/05/2026,Описание 2 хонали 3 хона килинган 2/4/4 Евроремонт Банк кредитга булади,2026-05-02,https://www.olx.uz/d/obyavlenie/algoritm-uy-sotiladi-ID4lLG5.html
4lSbf,olx,business,resale,Tashkent Region,Mirzo-Ulugbek District,3.0,,,64.0,4.0,5.0,brick,,,,,0.0,average condition,0.0,,,0,64000.0,USD,02/05/2026,Описание Продаётся 2 в 3 х комнатная квартира Площадь 64 м2 Дом кирпичный Балкон 2*6 и 2*3 Состояние на фото Хорошая локация Цена:64.000 уе,2026-05-02,https://www.olx.uz/d/obyavlenie/2v3-4-5-mirzoulugbekskiy-r-n-m-feruza-eko-bazar-kirpich-64-m2-2-balkona-ID4lSbf.html
4iTCH,olx,private,resale,Samarkand Region,Samarkand,4.0,117.0,117.0,117.0,2.0,6.0,brick,separate,2019.0,4.0,separate,0.0,euro renovation,0.0,"Balcony, Cable TV, Kitchen, Internet","Restaurant, Cafe, Kindergarten, Parking, Bus Stop, Hospital, Clinic, Supermarket, Shops, Park, Green Area, School, Entertainment, Playground",1,110000.0,USD,02/05/2026,Описание Vokzal park oldida yangi qurilgan 2 etajdan 4 xonali uy sotiladi,2026-05-02,https://www.olx.uz/d/obyavlenie/3-xonali-uy-sotiladi-zur-lokatsiyadan-vokzal-park-oldida-ID4iTCH.html
4iVVE,olx,private,resale,Tashkent Region,Chilanzar District,3.0,45.0,,90.0,8.0,9.0,panel,separate,1989.0,2.9,separate,0.0,needs renovation,0.0,,"Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,80000.0,USD,02/05/2026,"Описание Продается трехкомнатная квартира в Чилонзарском районе на 8-м этаже. Главная особенность — обилие естественного света. Высокий этаж обеспечивает отличный обзор. Просторные комнаты, где у каждого члена семьи будет свое место. ​Чистый, ухоженный подъезд без посторонних запахов. ​Лифт работает исправно. ​Благоустроенный двор с детской площадкой и местами для парковки. Состояние: Под ремонт",2026-05-02,https://www.olx.uz/d/obyavlenie/prostornaya-i-svetlaya-3k-kvartira-ID4iVVE.html
3zmeh,olx,private,,Tashkent Region,Shaykhantakhur District,1.0,30.0,,41.0,2.0,4.0,brick,separate,,,combined,1.0,euro renovation,1.0,"Refrigerator, Air Conditioning, Cable TV, Washing Machine, Kitchen","Hospital, Clinic, Playground, Bus Stop, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",0,450.0,USD,02/05/2026,Описание Срочно здам квартиру после евра ремонта на длительный срок акуратной СЕМЕ без детей,2026-05-02,https://www.olx.uz/d/obyavlenie/srochna-zdam-kvartiru-ID3zmeh.html
4mBZm,olx,private,,Tashkent Region,Shaykhantakhur District,4.0,72.0,3.0,80.0,7.0,12.0,panel,separate,,3.0,separate,1.0,designer renovation,1.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony",,0,500.0,USD,02/05/2026,Описание Tel 97 114-44-08 ijaraga 4 honalik uy beriladi honalari keng va alohida uy ichida barcha sharoyit quleliklari bor atrofida bohcha maktab dokon bor chorsu bozor ohtepa krug qoratosh nurafshon yo yaqin qule chikish moljal s darvoza,2026-05-02,https://www.olx.uz/d/obyavlenie/arenda-samarqan-darvoza-4-hona-ID4mBZm.html
4fcof,olx,private,,Tashkent Region,Yashnabad District,2.0,51.0,,51.0,7.0,10.0,brick,separate,,,combined,1.0,designer renovation,0.0,"Internet, Refrigerator, TV, Air Conditioning, Washing Machine, Kitchen","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Supermarket, Shops",1,1000.0,USD,02/05/2026,"Описание Сдаю новую 2- комнатную квартиру студийной планировки в элитном ЖК Sky Buildings на 7 этаже. Площадь 51.0 м2. Новый Евроремонт. Квартира оснащена  современной техникой и мебелью. Без посредников. Комнат: 2 Этаж: 7 Этажность: 10 Площадь: 51 кв.м. Кондиционер: Есть Кухонная гарнитура и техника: Есть Стиральная машина: Есть Ремонт: Авторский проект Рядом есть: Больница, Детский национальный медицинский центр, Рестораны - Кафе, Клиники, Школы, детские сады, Супермаркеты и Магазины в шаговой доступности. Цена: 1000 $ Для подробной информации звонить: +998334080000 - Владелец Умид",2026-05-02,https://www.olx.uz/d/obyavlenie/sdayu-kvartiru-v-elitnom-zhk-ID4fcof.html
4gckg,olx,private,new building,Kashkadarya Region,Карши,3.0,100.0,15.0,100.0,4.0,4.0,brick,separate,2018.0,3.5,separate,1.0,euro renovation,0.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Washing Machine, Kitchen","School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,810000000.0,UZS,02/05/2026,"Описание Квартира 3 зона 100 кв Хамма жихозлар бор. Телевизор, холодильник, зимо лето, автомат кирмашина, спальня мебель, кухня мебель, колин, гилам, парда хаммаси бор. 912330888,996686761",2026-05-02,https://www.olx.uz/d/obyavlenie/karshi-sh-markazida-kvartira-sotiladi-zur-zhoyda-ID4gckg.html
47efI,olx,business,,Tashkent Region,Shaykhantakhur District,3.0,,,115.0,5.0,8.0,,separate,,,2+ bathrooms,1.0,designer renovation,1.0,,,1,1200.0,USD,01/05/2026,"Описание Шайхантахурский район Ташкент Сити Жк Gardend 3/5/8 115м2 Авторский проект, новая квартира! Все условия имеются чтобы заехать и жить Развитая инфраструктура, все в пошаговой доступности! Все остальные подробности можете узнать по телефону! Телефон для связи: +998 95 252 22 25 Имеется огромная база для подбора квартир по вашему вкусу!",2026-05-02,https://www.olx.uz/d/obyavlenie/tashkent-city-gardens-novaya-3h-komnatnaya-kvartira-vid-na-park-ID47efI.html
4mwts,olx,private,new building,Tashkent Region,Yakkasaray District,2.0,55.4,,57.0,9.0,23.0,monolith,studio,2025.0,3.0,combined,1.0,designer renovation,0.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",1,217000.0,USD,29/04/2026,"Описание Продаётся 2-комнатная квартира с уже выстроенным арендным потоком. Объект не пустой — приносит стабильный ежемесячный доход. Финансы: Доход от аренды: 1 800 – 2 000 $ / месяц Ориентировочная доходность: ~10% годовых Арендатор(ы) стабильные, без просрочек (по факту уточняется) Возможность продлить аренду или пересдать. Об объекте: 2-комнатная квартира Новый ремонт Полностью готова к сдаче или проживанию Ликвидная планировка. Локация: ЖК Modera towers Яккасарайский район улица Шота Руставели 19. Формат сделки: Подходит для инвестора, который хочет готовый денежный поток Можно продолжить сдачу без паузы Подходит как долгосрочный актив. Просмотр: Показы только для заинтересованных покупателей Готовы обсуждать детали при реальном интересе и понимании сделки",2026-05-02,https://www.olx.uz/d/obyavlenie/prodaetsya-gotovyy-arendnyy-aktiv-s-dohodnostyu-10-godovyh-ID4mwts.html
4mqv9,olx,private,,Tashkent Region,Мирабад,4.0,70.0,12.0,120.0,12.0,25.0,brick,,,,2+ bathrooms,1.0,,1.0,,,1,2000.0,USD,01/05/2026,Описание Аренда кв 4 комнатной кв и парковочного место можно за отдельную оплату арендовать парковку и кладовку. Несерьёзным не беспокоить!,2026-05-02,https://www.olx.uz/d/obyavlenie/arenda-4-kv-120kv-m2-na-akay-siti-s-garazhom-12m2-i-16-m2-ID4mqv9.html
4dTmu,olx,business,new building,Tashkent Region,Mirzo-Ulugbek District,2.0,,,40.0,10.0,10.0,brick,,,,,1.0,,0.0,,,0,84000.0,USD,01/05/2026,"Описание 2/10/10 Ц-2, новостройка ЖК «Poytaxt Gavhari» закрытый двор, подземный паркинг, арендатор  за 800, кадастр, кирпич, 40 кв., дизайн ремонт, мебель, техника, цена 84000 910146800",2026-05-02,https://www.olx.uz/d/obyavlenie/2-kom-ts-2-alayskiy-ID4dTmu.html
4kATS,olx,private,resale,Tashkent Region,Алмазарский район,2.0,20.0,2.0,38.0,6.0,9.0,panel,separate,1989.0,3.0,combined,1.0,average condition,0.0,,"Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",1,46500.0,USD,01/05/2026,Описание Алмазарский район ц 103 28 квартира улица карасарай однокомнатная квартира переделана на двухкомнатную 38 квадратных метров рядом находится 28 школа 159 школа,2026-05-02,https://www.olx.uz/d/obyavlenie/prodaetsya-srochno-ID4kATS.html
43BKv,olx,business,,Tashkent Region,Mirzo-Ulugbek District,2.0,60.0,,65.0,4.0,12.0,brick,separate,,,combined,1.0,euro renovation,1.0,"TV, Air Conditioning, Washing Machine, Internet, Refrigerator, Telephone, Kitchen",,1,600.0,USD,30/04/2026,Описание 2/4/12 Площадь 65м2 Подробности по телефону,2026-05-02,https://www.olx.uz/d/obyavlenie/sdaetsya-2h-kom-kvartira-v-zhk-nrg-mirzo-ulugbek-ID43BKv.html
3e7dX,olx,private,new building,Tashkent Region,Yashnabad District,3.0,,14.0,57.0,1.0,5.0,brick,separate,2018.0,,separate,0.0,euro renovation,0.0,"Internet, Kitchen","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Parking, Supermarket, Shops, School",0,75000.0,USD,02/05/2026,Описание Свежий ремонт. Вокруг посажены деревья. Отдельная с/у. Хороший район. Своя квартира. Узбум Ж/к Обод Макон,2026-05-02,https://www.olx.uz/d/obyavlenie/kvartira-obod-makon-3-1-5-ID3e7dX.html
4gXxI,olx,private,resale,Kashkadarya Region,Карши,2.0,,,45.0,2.0,2.0,panel,,,3.5,combined,1.0,average condition,0.0,"Refrigerator, TV, Air Conditioning, Washing Machine, Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",1,285000000.0,UZS,02/05/2026,"Описание Квартира сотилади 45 м² 2 хона + кухня + балкон 2 қаватли уйнинг 2-қавати Газ, сув, свет бор Хужжатлардан муаммо йўқ Шинам ва яшаш учун барча қулайликларга эга. Барча жихоз ва техникалар қолади 9-мактаб, 10-боғча, янги бозор, марка супермаркет бир қадамда #Қарши шахар 1-миттитуман Мўлжал : Чевар ва Умс 9-мактаб томонда. 1 ни йўли олдида",2026-05-02,https://www.olx.uz/d/obyavlenie/sotiladi-bekorchilar-bezovta-kilmang-ID4gXxI.html
41mnN,olx,private,resale,Tashkent Region,Алмазарский район,2.0,37.0,8.0,54.0,1.0,9.0,panel,separate,1989.0,2.5,separate,1.0,average condition,0.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",1,125000.0,USD,02/05/2026,"Описание Toshkent shahar markazi , Chorsuga 1 km yaqin  boʻlgan Sebzorda 13 d 1 yoʻlak , 1 qavatda Honadon sotiladi! Faqat ofis qilish uchun tavsiya etiladi! O'zini oqlash muddati taxminan 7-10 yil! Balki undan kamroq dur! Xozir zo'r narx bunaqa lokatsiya bitta! Yangi eski shaharni yoningizda his qiling ! Loyiha boʻyicha  eng koʻp turist tashrif buyuradigan tarixiy  joy bo'lishi kutilmoqda! Hastimom koʻcha va Islom sivilizatsiyasi markazi bilan oraliq omasofa 300m. Oldida kichik bogʻcha va mashinalar toʻxtash uchun joy bor. Ko'ring va ishonch xosil qiling Korzinka 25 m Toshkent city 2.5 km Metro - 800 m",2026-05-02,https://www.olx.uz/d/obyavlenie/islom-sivilizatsiya-markazi-yonida-sebzorda-biznesingiz-uchun-uy-oling-ID41mnN.html
4l6fh,olx,business,resale,Tashkent Region,Sergeli District,2.0,43.8,,43.8,5.0,9.0,panel,Малосемейка,1989.0,,separate,0.0,needs renovation,0.0,,"Hospital, Clinic, Playground, Kindergarten, Bus Stop, Entertainment, Restaurant, Cafe, Supermarket, Shops, School",0,42000.0,USD,02/05/2026,"Описание Продаётся своя 2 комнатная квартира в сергели 4 , без ремонта , метро Турон 2 мин пешком до станции Чинор 8 минут, хорошая удобная локация в доль дороги напротив мечети. По вопросам звонить по номеру +998331403707 Мухлиса.",2026-05-02,https://www.olx.uz/d/obyavlenie/prodaetsya-2-komnatnaya-kvartira-ID4l6fh.html
4lWpf,olx,private,,Tashkent Region,Mirzo-Ulugbek District,2.0,56.0,5.0,62.0,1.0,5.0,panel,adjacent,1989.0,3.8,combined,1.0,euro renovation,1.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,500.0,USD,02/05/2026,Описание Kvartira 2 xonalik 1 etaj barcha jixozlari bor Mirzo ulugbek yalang'och bozorcha oldiga.,2026-05-02,https://www.olx.uz/d/obyavlenie/kivartira-2-xona-1-etaj-ID4lWpf.html
2rKTt,olx,private,,Tashkent Region,Sergeli District,3.0,80.0,16.0,80.0,2.0,7.0,brick,separate,2017.0,3.0,separate,1.0,euro renovation,1.0,"Refrigerator, Kitchen, Internet, Washing Machine, Air Conditioning, TV, Balcony","School, Park, Green Area, Hospital, Clinic, Bus Stop, Kindergarten, Playground, Supermarket, Shops",0,1000000.0,UZS,02/05/2026,"Описание Student qizlaga oila bilan turishga kvartira Amaliy fanlar, PDP, YODGI, Al Buxoriy Institutlaga yaqin. 2 ta qiz kerak Kir moshina, xolodilnlk telivizor wi-fi kondicioner bor, yulli yuzi, 3-bekatga yaqin. Shartnoma yoq,  Oilaga bollaga berilmaydi +998999730178",2026-05-02,https://www.olx.uz/d/obyavlenie/student-kizlaga-hozyaykali-kvartira-bezmakler-sergeli-3-bekat-ID2rKTt.html
3VPxy,olx,private,resale,Tashkent Region,Yunusabad District,2.0,,,56.0,5.0,9.0,brick,studio,,,combined,1.0,euro renovation,0.0,,,1,82500.0,USD,02/05/2026,"Описание Продается квартира в новостройке "" Комфорт Хаус "" Юнусабад-9 квартал 2/5/9 2х комнатная 4 этаж 9 этажный дом Общая площадь 56 м2 Новый ремонт , после ремонта никто не ниж С полной обстановкой мебель техника Зайти жить Теплый пол по всей квартире . Охраняемая территория Кадастр есть Прописка нулевая Ключи в нотариусе. Хороший вариант под сдачу в аренду Ориентир: корзинка Сетор Цена:82500$ есть торг Ипотеки нет, только наличка!!! +998958290584",2026-05-02,https://www.olx.uz/d/obyavlenie/yunusabad-9-kvartal-2-5-9-novostroyka-56m2-or-tir-setor-korzinka-ID3VPxy.html
4az2n,olx,private,,Fergana Region,Фергана,3.0,78.0,5.0,78.0,4.0,5.0,panel,adjacent,1989.0,2.4,combined,1.0,designer renovation,0.0,"Internet, Telephone, Refrigerator, Air Conditioning, Washing Machine, Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,250.0,USD,02/05/2026,"Описание 3 хона завадской, ремонти аъло, хамма хоналар обой қилинган, ромлар AKFA пласт, поли таркет қилинган, эшиклари МДФ, алохида отопленияси бор, кондиционер бор, қишда жуда иссиқ, ёзда табиий салқин, газ баланд ёнади, сув 24 соат ўчмайди, электр 24 соат ўчмайди, асосий эшик темирли, санузелда 100 литрлик Аристон, Ошхона мебели ва вентиляцияси бор, яшаш учун жуда қулай, ўзимиз яшаб турган уй.",2026-05-02,https://www.olx.uz/d/obyavlenie/3-honali-zr-sharoitdagi-kvartira-izharaga-beriladi-zakanal-40-dom-ID4az2n.html
4meOn,olx,business,resale,Tashkent Region,Chilanzar District,2.0,,,54.0,1.0,4.0,brick,adjacent,,,,1.0,average condition,0.0,,,0,70500.0,USD,01/05/2026,"Описание Продаётся Квартира Чиланзар 9 квартал 2в3/1/4 Ориентир:Малика гостиница ,РОВД Отличная локация Балкон:2х6 Планировка смежка Площадь:54кв.м С мебелью и техникой Тип строения кирпич Цена:71.000$",2026-05-02,https://www.olx.uz/d/obyavlenie/chilanzar-9-kvartal-2v3-1-4-balkon-26-otlichnaya-lokatsiya-ID4meOn.html
3W5w9,olx,private,resale,Tashkent Region,Yashnabad District,3.0,43.54,,73.7,4.0,4.0,brick,separate,,,separate,0.0,average condition,0.0,"Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Supermarket, Shops",1,76000.0,USD,01/05/2026,"Описание 3 хоналик 77-сериядаги квартира сотилади; гиштдан; Олмос метро ёнида. Умумий майдони: 72,4 кв.м. Коридор: 2х6м. Балкон: 2х6м. Кушимча балкон: 0.80х2.40. Нархи: $76000 (ками бор). Мурожаат учун телефон: +998974773288 Продаётся 3-х комнатная квартира 77-серии из кирпича; рядом метро Олмос. Общая площадь: 72,4 кв.м. Коридор: 2х6м. Балкон: 2х6м. Второй балкончик:0.80х2.40. Стоимость:$76000(договорная) Телефон для связи: +998974773288",2026-05-02,https://www.olx.uz/d/obyavlenie/prodaetsya-svoya-3-h-komnatnaya-kvartira-77-serii-u-metro-olmos-ID3W5w9.html
4mzqt,olx,private,resale,Tashkent Region,Sergeli District,4.0,60.0,12.0,94.24,4.0,9.0,panel,separate,2000.0,3.0,separate,0.0,average condition,0.0,"Internet, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",1,110000.0,USD,01/05/2026,"Описание Сергели 5, Ўзгариш МФЙ, 2 ва 3-сон Метро бекатлари олдида ""GOLDEN LIFE"" савдо мажмуаси олдида жойлашган 9-қаватли уй 4-қават 4-хонали 94.24 м2 майдони санузеллар алоҳида, ҳолати ремонт қилинган яшашга тайёр.",2026-05-02,https://www.olx.uz/d/obyavlenie/sergeli-5-mavze-zgarish-mfy-4-honali-uy-ID4mzqt.html
4mBYM,olx,private,resale,Tashkent Region,Shaykhantakhur District,2.0,,,68.0,9.0,9.0,panel,separate,,,separate,0.0,average condition,1.0,,,0,55700.0,USD,02/05/2026,Описание 2/9/9 белтепа махаллада квадрати катта 2 та балконли дом сотилади Оддий ремонт 2 хона 3 хона қилинган Срочний бўлгани учун арзон сотвоммиза 68квм атроф 55700$ Телефон:9.8.3.0.1.1.1.7.8.,2026-05-02,https://www.olx.uz/d/obyavlenie/2-9-9-beltepa-mahallada-kvadrati-katta-2-ta-balkonli-dom-sotiladi-ID4mBYM.html
4czbc,olx,private,resale,Tashkent Region,Yunusabad District,4.0,,,124.0,5.0,5.0,brick,,2010.0,,2+ bathrooms,1.0,designer renovation,0.0,"Internet, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",1,165000.0,USD,02/05/2026,"Описание Shoshilinch sotiladi. Yunusobod tumani Shahriston metro - ""Bankovskiy"" xonadon. 4-xonali (+ oshxona) 124 kv, Elit uy. 2 ta avtomobil uchun avtoturargohi bor. 150 metr radiusda Korzinka 24/7, Masjid, Shahriston metro. Qimmat mebel va texnikasi mavjud. Oilaviy sayr qilish uchun yonida ""Xotira Maydoni"" bor. ___ Юнусабадский район, ориентир метро Шахристан, элитный Банковский дом. Продаётся 4-комнатная квартира (переделанная в 5), 124 м². Квартира расположена в престижном районе, в радиусе 150 метров находятся супермаркет Korzinka 24/7, мечеть и станция метро Шахристан. Рядом также расположен парк «Xotira Maydoni», идеально подходящий для семейных прогулок. Характеристики: Этаж: 5 Этажность дома: 5 Общая площадь: 124 м² Состояние: элитная квартира, уникальный дизайнерский ремонт 2 санузла + душевая кабина Дорогая мебель и качественная техника включены Парковка на 2 автомобиля Имеется кладовая в подвале Собственник: +998 93 527-76-02",2026-05-02,https://www.olx.uz/d/obyavlenie/bankovskiy-yevro-remont-shahristanskiy-124-m-ID4czbc.html
2TsNc,olx,private,resale,Tashkent Region,Yashnabad District,3.0,57.0,,70.0,9.0,9.0,panel,separate,,2.8,separate,1.0,euro renovation,1.0,"Internet, Telephone, Air Conditioning, Washing Machine, Kitchen","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,70000.0,USD,02/05/2026,"Описание Продам свою уютную квартиру в хорошем районе, с хорошем ремонтом. Окна выходят на дворец авиа строителей.на окнах решетки. Крыша не течёт, хорошие соседи - очень чистый и красивый двор.  Бонус - гараж. Собственник. Не большой торг уместен. Либо обмен на дом- желательно в этом районе.",2026-05-02,https://www.olx.uz/d/obyavlenie/prodam-svoyu-kvartiru-ID2TsNc.html
